stage,tags,title,introdustion,time_max,method,image,time
초등학생 고학년 이상,실감 미디어,“디지털숲 영상 오디세이”,가상현실로 구현된 숲 숲속 기상 변화 등을 배경으로 시각과 청각을 활용해 정신과 신체의 이완을 돕는 명상 프로그램,30분,사전접수,/assets/전시회장 사진/디지털 숲 명상 오디세이.png,10:00 ~ 17:00
초등학생 고학년 이상,실감 미디어,“진짜처럼 짜릿! 햅틱 손맛 체험존”(VR 기반의 햅틱 디바이스 체험),햅틱 디바이스(슈트와 장갑)를 착용한 후 복싱과 롤러코스터 체험,10분,현장접수,/assets/전시회장 사진/진짜처럼 짜릿! 햅틱 손맛 체험존 (VR 기반의 햅틱 디바이스 체험).png,10:00 ~ 17:00
초등학생 고학년 이상,실감 미디어,톡톡 튀는 콘텐츠! 실감 팡팡 체험존,실감미디어 학생들의 독창성 있는 우수 작품들을 직접 체험,10분,현장접수,/assets/전시회장 사진/톡톡 튀는 콘텐츠! 실감 팡팡 체험존 (실감미디어 경진대회 우수작품 체험).png,10:00 ~ 17:00

초등학생 고학년 이상,미래 자동차,AWS DeepRacer 자율주행 체험,자율주행 AI VS 인간 운전 대결 승자는?!,10분,현장접수 / 사전접수,/assets/전시회장 사진/AWS DeepRacer 자율주행 체험.png,10:00 ~ 17:30

초등학생 고학년 이상,항공드론,UAM 조종 시뮬레이터 체험,블록코딩을 활용한 드론 실습 및 체험교육,30분 이내,현장접수 / 사전접수,/assets/전시회장 사진/UAM 조종 시뮬레이터 체험.png,10:00 ~ 17:30
초등학생 고학년 이상,항공드론,드론 장애물 경주 체험,드론을 수동으로 조종하여 다양한 미션을 수행하는 체험 프로그램,30분 이내,현장접수,/assets/전시회장 사진/드론 장애물 경주 체험.png,10:00 ~ 17:30
초등학생 고학년 이상,항공드론,블록코딩을 활용한 드론제어,블록코딩을 활용한 드론 실습 및 체험교육,90분 이내,현장접수 / 사전접수,/assets/전시회장 사진/블록코딩을 활용한 드론제어.png,10:00 ~ 17:30

초등학생 고학년 이상,차세대 반도체,"어서와, 반도체 회로제작은 처음이지?",내 손으로 만들어보는 반도체 PCB자 미니 게임기,30분,현장접수,/assets/전시회장 사진/어서와 반도체 회로제작은 처음이지.png,10:00 ~ 18:00

초등학생 고학년 이상,첨단소재 나노융합,첨단소재워터랩: 모래의 비밀,모래가 씨앗의 수분 공급과 싹틔움에 미치는 원리를 통해 첨단소재의 개념 체험,40분,사전접수,/assets/전시회장 사진/첨단소재워터랩 모링가의 비밀.png,10:00 ~ 17:00
초등학생 이상,첨단소재 나노융합,3D펜으로 만드는 첨단소재 창의공작소,3D펜과 첨단소재로 상상을 입체로 구현하는 창의 체험 프로그램,30분,현장접수,/assets/전시회장 사진/3D펜으로 만드는 첨단소재 창의공작소.png,10:00 ~ 17:00
초등학생 이상,첨단소재 나노융합,손끝에서 펼쳐지는 스트레처블 첨단연구소재,쭈욱 늘어나는 스트레처블(유연 고분자) 소재 과학 체험,40분,사전접수,/assets/전시회장 사진/손끝에서 펼쳐지는 스트레쳐블 첨단유연소재.png,10:00 ~ 17:00

초등학생 이상,그린 바이오,Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!,애그테크(Ag-Tech) 접목 우주 농사 체험! 상추 생장 환경을 제어해 우주 농부 인증 받기,25분,현장접수,/assets/전시회장 사진/Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!.png,10:00 ~ 17:00

초등학생 이상,바이오 헬스,"기술로 되찾는 움직임, 로봇이 전하는 회복의 미래",첨단 로봇 재활 기기가 만들어가는 새로운 걸음과 삶의 가능성 ,10분,현장접수 / 사전접수,/assets/전시회장 사진/기술로 되찾는 움직임 로봇이 전하는 회복의 미래.png,10:00 ~ 18:00
초등학생 이상,바이오 헬스,"생명의 코드, 우리 몸과 DNA",코끼리 치약부터 DNA추출까지 실험으로 배우는 유전자 과학,60분,사전접수,/assets/전시회장 사진/생명의 코드 우리 몸과 DNA.png,10:00 ~ 18:00
초등학생 이상,바이오 헬스,"이동의 경계를 넘어, 게임으로 확장된 세상",휠체어와 게임이 만드는 새로운 경험과 가능성,4분,현장접수 / 사전접수,/assets/전시회장 사진/이동의 경계를 넘어 게임으로 확장된 세상.png,10:00 ~ 18:00
초등학생 이상,바이오 헬스,"피부 위의 예술, 인체 속의 과학",바디페인팅으로 경험하는 인체과학과 예술,15분,현장접수 / 사전접수,/assets/전시회장 사진/피부 위의 예술 인체 속의 과학.png,10:00 ~ 18:00

초등학생 이상,차세대 통신,인공위성 통신 체험관,인공위성 발사부터 통신까지! 위성 통신 체험하기!,15분,현장접수 / 사전접수,/assets/전시회장 사진/인공위성 통신 체험관.png,10:00 ~ 17:00

초등학생 이상,빅데이터,Scent Memory,나의 취향을 입력하면 데이터가 향수 레시피를 추천해준다구?!,5분,현장접수,/assets/전시회장 사진/Scent Memory.png,10:00 ~ 17:00
초등학생 이상,빅데이터,기택이의 대모험,오류 속에 숨은 진실 기택이와 데이터 디버깅 체험,5~10분,현장접수,/assets/전시회장 사진/기택이의 대모험.png,10:00 ~ 17:00
초등학생 이상,빅데이터,나는 누구일까?,빅데이터가 랜덤키워드 5개를 줄게 정답은 누가 맞출래?,5~10분,현장접수,/assets/전시회장 사진/나는 누구일까.png,10:00 ~ 17:00
초등학생 이상,빅데이터,"나의 왕자님, 공주님을 찾아라!",이상형과 관련된 단어만 알려줘! AI가 이상형을 그려줄게!,5~10분,현장접수,/assets/전시회장 사진/나의 왕자님 공주님을 찾아라!.png,10:00 ~ 17:00
초등학생 이상,빅데이터,너 내 동료가 되라!,데이터분석? 시각화? 빅데이터 전공이 궁금하면 따라와! 전공체험 해보자,5분,현장접수,,10:00 ~ 17:00
초등학생 이상,빅데이터,빅데이터 어워즈,챗봇과 함께하는 빅데이터 컨소시엄 학생들이 만든 우수 성과 체험,5분,현장접수,/assets/전시회장 사진/빅데이터 어워즈.png,10:00 ~ 17:00
